customer_id,first_name,last_name,gender,date_of_birth,email,phone_number,city,occupation,join_date,age
1.0,Gloria,Sims,Female,1985-06-04,patrickbarton@houston-doyle.com,(281)203-8357x7258,Nairobi,Teacher,2019-05-19,41
2.0,David,Rodriguez,Male,1983-12-28,mooremadison@gmail.com,+1-638-080-2760x2386,Nairobi,Accountant,2021-07-05,43
3.0,Robert,Jones,Male,1952-12-21,robertlewis@park-stewart.biz,556.013.2135x0547,Nairobi,Engineer,2021-07-24,74
4.0,Paul,Bradley,Female,1980-09-19,joshuashaffer@yahoo.com,001-771-727-5965x9549, Kisumu,Teacher,2025-03-20,46
5.0,Aaron,Garcia,Unknown,1970-06-05,townsendjames@williams-becker.com,(178)171-3862x473, Kisumu,Accountant,2020-09-20,56
6.0,Anthony,Cohen,Female,1973-02-21,levi57@yahoo.com,001-250-729-4212x95184,Nairobi,Unknown,2018-12-25,53
7.0,Oscar,Campbell,Unknown,2004-11-02,gphillips@yahoo.com,337-359-0197,Nairobi,Accountant,2024-02-27,22
8.0,Kyle,Collins,Female,1981-08-23,duarterachel@byrd-nelson.org,(244)146-6196x620, Kisumu,Engineer,2023-03-25,45
9.0,Sandra,Gardner,Unknown,1959-10-11,bill81@gmail.com,(459)456-7941, Kisumu,Teacher,2018-09-12,67
10.0,Dean,Dean,Female,1952-01-08,megansmith@wood.net,001-251-624-1035x440,Mombasa ,Unknown,2023-09-17,74
11.0,Tami,Thomas,Female,1961-07-23,christopher17@yahoo.com,767.861.4259x01449,Nairobi,Engineer,2021-04-20,65
12.0,Jason,Bailey,Female,1980-05-01,oscarmitchell@hotmail.com,+1-824-945-9480x7074,Nairobi,Accountant,2021-10-12,46
13.0,Stacy,Young,Male,1980-08-16,rogersrobert@haynes-landry.com,085-124-9701,Nairobi,Accountant,2022-01-16,46
14.0,Bradley,Thomas,Male,1992-07-18,rebeccamiller@gmail.com,001-173-086-9142x310,Nairobi,Unknown,2018-08-03,34
15.0,Becky,Ramirez,Female,1975-05-17,jeffrey86@wood.net,(994)572-9794,Unknown,Teacher,2018-08-25,51
16.0,Nicholas,Mccullough,Unknown,2001-06-30,dwolf@yahoo.com,635.398.3374x3532,Nairobi,Unknown,2023-07-18,25
17.0,Patrick,Barker,Unknown,1971-10-07,tyler23@williams-harper.com,674-699-4121x95470,Mombasa ,Teacher,2025-09-29,55
18.0,Kevin,Leonard,Male,1969-07-22,vwu@patterson-galvan.com,151-049-4270x830,Unknown,Teacher,2026-03-28,57
19.0,Erin,Rodriguez,Male,1999-03-26,powersemily@clark.com,003-769-6615x8489,Unknown,Developer,2019-08-07,27
20.0,Eric,Cox,Female,1973-06-03,allenjennifer@patterson.com,001-954-149-2831x6290,Nairobi,Teacher,2019-04-13,53
21.0,Scott,Solis,Male,1983-10-03,paul93@yahoo.com,693.032.9720,Nairobi,Developer,2020-10-13,43
22.0,David,Flores,Male,1994-08-26,willisdawn@graham-lee.com,001-602-310-3518x28310,Nairobi,Developer,2021-02-15,32
23.0,Travis,Lewis,Female,1999-11-10,kreynolds@banks.biz,600.428.6212x724,Mombasa ,Developer,2018-10-07,27
24.0,Jonathan,Martin,Female,1968-08-20,zlee@yahoo.com,(945)409-8380, Kisumu,Unknown,2019-06-30,58
25.0,Autumn,Myers,Male,1999-08-26,donna92@fletcher.info,001-194-050-7286x6357,Mombasa ,Engineer,2019-08-19,27
26.0,Amber,Dickson,Female,1991-03-28,bellamy@gmail.com,259-398-1976x6221,Unknown,Engineer,2026-02-14,35
28.0,Karen,Wolfe,Unknown,2000-11-26,vincent38@wallace-miller.com,480.158.9456x3905, Kisumu,Unknown,2023-05-09,26
29.0,Amanda,Castillo,Unknown,1977-04-14,charles31@carter.com,693-813-2996,Unknown,Teacher,2019-01-04,49
30.0,Tina,Price,Unknown,1960-12-14,dennisdavid@evans.com,6481598916,Mombasa ,Developer,2020-12-18,66
31.0,Lisa,Ruiz,Female,2005-04-09,ryanbarrett@yahoo.com,+1-248-732-5264,Nairobi,Engineer,2021-10-10,21
32.0,Jason,Murphy,Male,1965-07-09,sosachristopher@yahoo.com,118.925.1549x960,Nairobi,Teacher,2022-01-10,61
35.0,Rebecca,Middleton,Unknown,1966-06-08,jessica28@hotmail.com,492.242.1296,Nairobi,Teacher,2020-09-27,60
36.0,Allen,Maddox,Female,1960-02-29,dwright@chambers.com,(516)968-1508x352,Nairobi,Teacher,2023-12-15,66
37.0,Stephen,Cole,Male,1970-01-03,debra43@mccoy.com,(884)330-9855x6428,Mombasa ,Engineer,2024-02-13,56
38.0,Todd,Sanchez,Female,1962-06-08,jacksonkelly@gmail.com,440-646-8483, Kisumu,Unknown,2023-02-06,64
39.0,Evan,Saunders,Unknown,2002-09-30,ericcoleman@gmail.com,+1-203-746-7379x7784, Kisumu,Unknown,2022-01-29,24
40.0,Sandra,Osborne,Male,1994-04-11,roberta55@rivera.info,(060)502-9657x2193,Nairobi,Accountant,2023-03-31,32
41.0,John,Davis,Female,1965-11-16,sanchezjamie@chambers-washington.com,001-459-940-4714x4064,Nairobi,Accountant,2024-02-28,61
42.0,Bryan,Smith,Unknown,1958-01-15,kevin56@gmail.com,(786)154-4837,Nairobi,Accountant,2021-03-16,68
43.0,Diana,Roman,Female,1955-04-15,lisahernandez@johnson.com,507-053-8108,Mombasa ,Engineer,2022-08-05,71
44.0,Jamie,Macias,Female,1999-02-18,fbrown@hotmail.com,001-723-465-4133x9936,Nairobi,Teacher,2022-08-02,27
45.0,Justin,Hughes,Female,1991-12-01,christophermedina@kelly.org,(606)570-9961x82146,Unknown,Accountant,2022-12-20,35
46.0,Anthony,Gutierrez,Female,1956-09-09,robert93@johnson.com,1921898768,Unknown,Unknown,2023-01-01,70
47.0,Veronica,Shepard,Male,1960-08-17,aliciagriffin@gmail.com,+1-321-849-9918x537,Nairobi,Engineer,2018-11-24,66
48.0,Patricia,Baldwin,Male,1951-12-07,patelalicia@allen.info,001-870-101-7209x8158, Kisumu,Accountant,2018-10-07,75
49.0,Jessica,Cain,Female,1966-01-29,millermichael@walton.com,661.620.1790x248,Nairobi,Teacher,2019-12-27,60
50.0,Jose,Williams,Male,1977-04-06,eatontanya@stafford.com,001-264-920-0586,Unknown,Engineer,2023-10-18,49
51.0,Kimberly,Daniels,Female,1976-07-10,michaelray@hotmail.com,+1-340-119-4577x19148,Unknown,Unknown,2025-02-27,50
52.0,Kelly,Briggs,Female,1983-09-22,joshua32@hotmail.com,(372)003-0254x72277,Unknown,Teacher,2019-12-26,43
53.0,Robin,Peterson,Female,1997-07-31,ogrant@ortega.biz,001-393-762-7962x606,Nairobi,Engineer,2019-11-18,29
54.0,Michelle,Erickson,Female,1982-07-08,pshaw@hotmail.com,078.513.4952,Nairobi,Accountant,2024-07-11,44
55.0,Susan,Williams,Female,1955-09-11,christine84@hicks.com,230-000-3446x982,Nairobi,Engineer,2018-12-16,71
56.0,Rachel,Wilson,Female,1971-09-28,bennettchristina@gmail.com,5241697722,Unknown,Teacher,2019-02-13,55
57.0,Catherine,Shepherd,Female,1972-08-22,jeffreygriffith@gmail.com,(947)255-1039x45347,Nairobi,Engineer,2026-04-23,54
59.0,Marcus,Smith,Unknown,1961-10-23,fosterjoseph@turner.org,001-197-286-1228x92641,Nairobi,Teacher,2024-02-03,65
60.0,Tommy,Rodriguez,Male,1981-02-22,michael20@yahoo.com,+1-278-557-1047,Unknown,Accountant,2019-12-21,45
61.0,Jennifer,Greer,Unknown,1988-01-12,cookcollin@marshall.net,629-166-4130x4877, Kisumu,Engineer,2018-07-20,38
62.0,Bethany,Williamson,Unknown,1999-01-20,iking@wilson.net,991-695-9097x4178,Mombasa ,Engineer,2023-03-17,27
63.0,Monica,Byrd,Female,1959-11-02,ncruz@yahoo.com,+1-545-445-8691x78495,Mombasa ,Accountant,2019-08-02,67
64.0,Sherri,Lutz,Unknown,1980-03-12,ayalajohn@velazquez.com,(677)373-3333,Unknown,Accountant,2019-02-28,46
65.0,Timothy,Green,Female,2007-02-04,racheldelgado@gmail.com,(866)364-4817,Nairobi,Accountant,2020-10-12,19
66.0,Matthew,Steele,Female,1961-02-16,austin65@king.com,001-263-938-3082,Nairobi,Accountant,2019-11-10,65
67.0,Kyle,Gonzalez,Male,2004-09-29,zimmermanamanda@freeman-gonzales.info,231.286.0385x8391,Nairobi,Developer,2021-01-03,22
68.0,Kimberly,Yates,Unknown,1967-08-16,milesshelby@yahoo.com,864-139-6523,Nairobi,Unknown,2024-12-16,59
69.0,Sharon,Brooks,Unknown,1950-11-25,kyleaguilar@calhoun.com,5514421458, Kisumu,Engineer,2025-08-29,76
70.0,Jasmine,Weaver,Male,1984-11-17,mcmahondouglas@gmail.com,465-283-3345,Nairobi,Developer,2023-07-07,42
71.0,Gary,Baxter,Male,1977-03-04,welchdesiree@gmail.com,003-197-9381,Nairobi,Teacher,2018-11-07,49
72.0,Angelica,Lucas,Female,2000-10-05,vincentrodriguez@maldonado.com,(067)636-7428x12912,Unknown,Unknown,2019-12-19,26
73.0,Tammy,Hawkins,Female,1989-11-14,sparkstiffany@yahoo.com,(271)867-3599x71324,Unknown,Unknown,2020-05-15,37
74.0,Kaitlyn,Evans,Female,1955-01-03,laura06@carter-carey.com,799.450.5670,Nairobi,Teacher,2025-11-02,71
75.0,Amanda,Roberts,Female,1969-10-10,gabriellehicks@martin-perry.net,+1-505-318-5191x49672,Unknown,Engineer,2022-01-30,57
76.0,Zachary,Walker,Female,1969-12-31,brandondavis@olson-hunter.biz,671.710.9065,Mombasa ,Unknown,2025-11-17,57
77.0,Stephen,Taylor,Male,1985-08-22,turnercharles@martin-grant.com,032-905-7627x405,Unknown,Unknown,2025-08-13,41
79.0,Charles,Newman,Unknown,1961-09-18,melinda74@hotmail.com,+1-618-455-7207x3535, Kisumu,Teacher,2023-05-22,65
80.0,Sean,Barnes,Female,1995-10-14,ndavis@gmail.com,(339)183-1989x84185,Nairobi,Teacher,2025-04-07,31
81.0,April,Newman,Male,1990-03-24,xtaylor@gmail.com,+1-917-751-2626x049,Nairobi,Unknown,2025-01-22,36
82.0,Maria,Wilson,Female,1973-02-06,villegasgregory@carter-walsh.biz,364.765.8233x0413,Unknown,Unknown,2025-01-15,53
83.0,David,Richards,Unknown,1964-01-13,ngamble@velasquez.biz,(282)416-8971, Kisumu,Developer,2025-02-10,62
84.0,Scott,Little,Male,2001-09-21,snowrichard@hobbs.com,034.165.1320x066,Unknown,Engineer,2019-11-07,25
85.0,Tasha,Swanson,Male,1958-08-14,michele49@hotmail.com,4968272735,Nairobi,Teacher,2020-04-20,68
86.0,Jacob,Davis,Male,1967-01-28,jameslogan@gmail.com,8005557395,Nairobi,Teacher,2022-09-18,59
87.0,Brian,Garcia,Male,1998-10-16,michael68@moore.net,+1-620-847-1988,Nairobi,Accountant,2019-06-14,28
88.0,Edwin,Garcia,Male,2007-08-13,brian53@kelley-taylor.com,001-217-661-0269x6143,Nairobi,Accountant,2025-08-02,19
89.0,Brendan,Nicholson,Male,1956-10-22,joshua22@yahoo.com,001-830-360-7652x218,Nairobi,Teacher,2018-08-22,70
90.0,Jennifer,Hayes,Male,1959-04-14,johnarcher@gmail.com,001-317-903-4454x59629, Kisumu,Engineer,2026-04-18,67
91.0,Vincent,Jordan,Unknown,1969-01-27,dennishicks@yahoo.com,271.261.3534x4966,Nairobi,Unknown,2022-03-25,57
92.0,Christopher,Jones,Male,1976-12-19,bfranklin@smith-hall.com,847.847.1069x253,Nairobi,Accountant,2022-01-31,50
93.0,Suzanne,Garcia,Female,1989-02-04,hansonvanessa@gmail.com,+1-241-157-3619x235,Nairobi,Developer,2020-12-03,37
94.0,Mary,Fisher,Female,1952-12-30,vincent46@hotmail.com,001-176-910-7385x66798, Kisumu,Developer,2023-07-30,74
95.0,Thomas,Jackson,Male,1960-06-08,justin18@yahoo.com,001-404-800-7835x8508,Nairobi,Unknown,2020-08-06,66
96.0,Anna,Pittman,Female,1961-09-02,obutler@gmail.com,214-943-1327,Nairobi,Teacher,2021-08-26,65
97.0,James,Watts,Male,1951-02-07,keiththomas@perez-thomas.info,924.786.2525x6034,Unknown,Unknown,2025-07-08,75
98.0,Edward,Brooks,Male,2001-05-26,hsmith@hotmail.com,250-445-6025x26480,Mombasa ,Accountant,2019-09-27,25
99.0,Donna,Carlson,Male,1959-11-22,marymckenzie@mason-cordova.com,131-901-7116,Unknown,Unknown,2020-06-10,67
100.0,Joseph,Young,Female,1976-03-14,njones@gmail.com,(124)196-1918x37045,Mombasa ,Teacher,2022-03-18,50
101.0,Pamela,Johnson,Male,1957-02-20,wfox@yahoo.com,4624026811, Kisumu,Unknown,2023-04-24,69
102.0,Robert,White,Male,1969-09-27,kellyphillips@hill-vasquez.com,2621814287,Nairobi,Teacher,2019-02-04,57
103.0,Michelle,Walsh,Male,1963-06-29,warrencheryl@price-ross.com,(054)339-9769x970, Kisumu,Engineer,2025-11-17,63
104.0,Autumn,Beck,Male,1971-10-19,angelareynolds@griffin.com,369-537-0513,Nairobi,Engineer,2024-01-14,55
105.0,Gary,Pittman,Male,1956-03-22,erobinson@wilson-brewer.com,001-907-565-9753x8560,Nairobi,Unknown,2019-08-01,70
106.0,Julia,Wright,Male,1990-08-29,karnold@duke-anderson.com,398-124-7373, Kisumu,Engineer,2018-11-23,36
107.0,Kathryn,Larson,Unknown,1970-03-01,eric89@hotmail.com,(330)257-8403,Nairobi,Developer,2018-06-23,56
108.0,Mark,Mendoza,Unknown,1994-04-08,tracywilliams@hotmail.com,+1-372-447-8834,Nairobi,Accountant,2023-05-23,32
109.0,Ashley,Marshall,Unknown,1975-09-08,howellmorgan@yahoo.com,+1-796-690-8527x11187, Kisumu,Accountant,2020-09-28,51
110.0,Karen,Smith,Male,2000-08-22,james52@rivera.com,6377654876, Kisumu,Engineer,2019-02-08,26
111.0,Regina,Griffin,Male,2006-12-31,mary25@hotmail.com,497-468-3098x626,Nairobi,Teacher,2022-06-20,20
112.0,Stephanie,Williams,Female,1987-05-28,jasmin20@myers.net,001-084-976-7246,Unknown,Teacher,2025-03-21,39
113.0,Ashley,Jones,Female,1978-05-02,jmitchell@andersen.com,+1-663-113-8051x86045,Nairobi,Developer,2024-04-02,48
114.0,Caitlin,Fowler,Unknown,1952-07-07,jasmineparker@parsons.com,+1-519-210-7028,Nairobi,Accountant,2024-11-07,74
115.0,Warren,Luna,Female,1990-02-08,jessicarivera@yahoo.com,+1-521-817-9684,Nairobi,Unknown,2026-03-09,36
116.0,Michael,Clark,Female,1979-12-06,hburnett@johnson-hodge.com,(772)236-3724,Unknown,Developer,2023-03-07,47
117.0,Christopher,Wheeler,Female,2008-02-17,blairbailey@yahoo.com,211.166.2699x60375,Unknown,Unknown,2022-05-22,18
118.0,Wendy,Bowers,Unknown,1951-02-20,rwalker@moore-howe.info,169-546-2944x6038,Nairobi,Teacher,2023-10-27,75
119.0,Thomas,Gray,Male,1964-03-30,princejennifer@hotmail.com,390-612-6741x66012,Unknown,Unknown,2023-07-11,62
120.0,Leslie,Anderson,Female,2002-07-09,hedwards@braun.info,001-449-195-4352,Nairobi,Developer,2022-02-20,24
121.0,Jose,Price,Male,1962-03-02,lopezbrittany@hotmail.com,764-940-3333x92392,Unknown,Developer,2023-04-21,64
122.0,Michael,Shaw,Unknown,1960-09-07,brucekyle@parks.com,763-232-1475x0874,Mombasa ,Developer,2018-06-20,66
123.0,Timothy,Daniels,Unknown,2005-01-01,lynn17@nelson.com,(071)420-0324x6999,Nairobi,Developer,2020-10-27,21
125.0,Julia,Adams,Female,1967-08-09,robin08@smith.com,204.332.2498,Nairobi,Teacher,2019-10-12,59
126.0,Michael,Shelton,Female,1993-06-17,nathanday@perez.org,646-536-4631x1323,Nairobi,Unknown,2025-05-30,33
127.0,Teresa,Richardson,Unknown,2004-12-31,sandovalkaren@gibbs.com,+1-299-814-6844x02679,Nairobi,Unknown,2024-08-24,22
128.0,Tommy,Coffey,Female,2001-02-11,nicole33@crane-vargas.com,241.020.0748x24737,Nairobi,Teacher,2021-12-25,25
129.0,Ashley,Fisher,Female,1982-10-08,humphreybonnie@gmail.com,+1-383-503-2972,Unknown,Engineer,2020-05-13,44
130.0,Gary,Johnson,Female,1993-05-23,annalynch@gmail.com,366-296-8335x623,Nairobi,Teacher,2022-01-21,33
131.0,Sean,Howard,Male,1994-07-04,sandrahardy@stewart.org,+1-103-913-4646x7365,Nairobi,Engineer,2019-04-25,32
132.0,Samuel,Mcmillan,Male,1979-05-04,allen58@perez.info,(814)146-0915,Nairobi,Developer,2022-02-08,47
133.0,Adrienne,Perez,Unknown,1975-07-18,kristi18@yahoo.com,001-029-719-1362,Mombasa ,Unknown,2024-02-08,51
134.0,Amber,Cook,Male,1965-03-13,penny88@gmail.com,788.868.0466x140,Unknown,Unknown,2019-06-30,61
135.0,Heather,Ferguson,Female,1991-07-02,liuanthony@johnson.biz,578-738-7090,Nairobi,Developer,2024-06-24,35
136.0,Benjamin,Campbell,Female,2006-10-10,brookeevans@hotmail.com,392-675-4899x24436,Mombasa ,Teacher,2023-03-21,20
137.0,Latoya,Sanchez,Female,1960-11-14,rebecca29@roth.com,001-602-700-7355x6260, Kisumu,Accountant,2020-04-27,66
138.0,Tiffany,Henson,Male,2003-11-18,iwebb@ross.info,313-354-6854,Unknown,Developer,2021-02-07,23
139.0,Wesley,Friedman,Female,1953-11-02,spencerpaul@gmail.com,793-178-7224x9557,Nairobi,Developer,2022-01-02,73
140.0,Denise,Clay,Unknown,1997-08-07,matthewsherman@gmail.com,8465739911,Mombasa ,Developer,2023-07-30,29
141.0,Lynn,Jensen,Male,1959-11-26,pittmanpaul@hotmail.com,615-303-4660x52774,Unknown,Unknown,2019-08-04,67
142.0,Michele,Rodriguez,Female,1986-04-26,castilloandrew@huang-ellis.com,130-587-3700x350, Kisumu,Developer,2022-08-10,40
143.0,Samantha,Keller,Female,1956-11-19,marcus29@hotmail.com,732-500-8537, Kisumu,Developer,2025-11-16,70
