customer_id,first_name,last_name,gender,date_of_birth,email,phone_number,city,occupation,join_date
1.0,Gloria,Sims,Female,1985-06-04,patrickbarton@houston-doyle.com,(281)203-8357x7258,nairobi,Teacher,2019-05-19
2.0,David,Rodriguez,Male,1983-12-28,mooremadison@gmail.com,+1-638-080-2760x2386,nairobi,ACCOUNTANT,2021-07-05
3.0,Robert,Jones,Male,1952-12-21,robertlewis@park-stewart.biz,556.013.2135x0547,nairobi,Engineer,2021-07-24
4.0,Paul,Bradley,FEMALE,1980-09-19,joshuashaffer@yahoo.com,001-771-727-5965x9549, Kisumu,Teacher,2025-03-20
5.0,Aaron,Garcia,,1970-06-05,townsendjames@williams-becker.com ,(178)171-3862x473, Kisumu,ACCOUNTANT,2020-09-20
6.0,Anthony,Cohen,Female,1973-02-21,levi57@yahoo.com,001-250-729-4212x95184,Nairobi,,2018-12-25
7.0,Oscar,Campbell,,2004-11-02,gphillips@yahoo.com,337-359-0197,NAIROBI,ACCOUNTANT,2024-02-27
8.0,Kyle,Collins,Female,1981-08-23,duarterachel@byrd-nelson.org,(244)146-6196x620, Kisumu,Engineer,2023-03-25
9.0,Sandra,Gardner,,1959-10-11,bill81@gmail.com,(459)456-7941, Kisumu,Teacher,2018-09-12
10.0,Dean,Dean,FEMALE,1952-01-08,megansmith@wood.net,001-251-624-1035x440,Mombasa ,,2023-09-17
11.0,Tami,Thomas,FEMALE,1961-07-23,christopher17@yahoo.com,767.861.4259x01449,Nairobi,Engineer,2021-04-20
12.0,Jason,Bailey,Female,1980-05-01,oscarmitchell@hotmail.com,+1-824-945-9480x7074,NAIROBI,ACCOUNTANT,2021-10-12
13.0,Stacy,Young,male,1980-08-16,rogersrobert@haynes-landry.com,085-124-9701,NAIROBI,ACCOUNTANT,2022-01-16
14.0,Bradley,Thomas,Male,1992-07-18,rebeccamiller@gmail.com,001-173-086-9142x310,Nairobi,,2018-08-03
15.0,Becky,Ramirez,FEMALE,1975-05-17,jeffrey86@wood.net,(994)572-9794,,Teacher,2018-08-25
16.0,Nicholas,Mccullough,,2001-06-30,dwolf@yahoo.com,635.398.3374x3532,NAIROBI,,2023-07-18
17.0,Patrick,Barker,,1971-10-07,tyler23@williams-harper.com,674-699-4121x95470,Mombasa ,Teacher,2025-09-29
18.0,Kevin,Leonard,male,1969-07-22,vwu@patterson-galvan.com,151-049-4270x830,,Teacher,2026-03-28
19.0,Erin,Rodriguez,male,1999-03-26,powersemily@clark.com,003-769-6615x8489,,developer,2019-08-07
20.0,Eric,Cox,FEMALE,1973-06-03,allenjennifer@patterson.com ,001-954-149-2831x6290,NAIROBI,Teacher,2019-04-13
21.0,Scott,Solis,male,1983-10-03,paul93@yahoo.com,693.032.9720,nairobi,developer,2020-10-13
22.0,David,Flores,male,1994-08-26,willisdawn@graham-lee.com,001-602-310-3518x28310,Nairobi,developer,2021-02-15
23.0,Travis,Lewis,FEMALE,1999-11-10,kreynolds@banks.biz,600.428.6212x724,Mombasa ,developer,2018-10-07
24.0,Jonathan,Martin,Female,1968-08-20,zlee@yahoo.com ,(945)409-8380, Kisumu,,2019-06-30
25.0,Autumn,Myers,male,1999-08-26,donna92@fletcher.info,001-194-050-7286x6357,Mombasa ,Engineer,2019-08-19
26.0,Amber,Dickson,Female,1991-03-28,bellamy@gmail.com,259-398-1976x6221,,Engineer,2026-02-14
,Ronald,Moore,,2001-03-05,allenevelyn@smith.biz,519-831-1200x0332,NAIROBI,Teacher,2024-09-27
28.0,Karen,Wolfe,,2000-11-26,vincent38@wallace-miller.com,480.158.9456x3905, Kisumu,,2023-05-09
29.0,Amanda,Castillo,,1977-04-14,charles31@carter.com ,693-813-2996,,Teacher,2019-01-04
30.0,Tina,Price,,1960-12-14,dennisdavid@evans.com,6481598916,Mombasa ,developer,2020-12-18
31.0,Lisa,Ruiz,FEMALE,2005-04-09,ryanbarrett@yahoo.com,+1-248-732-5264,nairobi,Engineer,2021-10-10
32.0,Jason,Murphy,Male,1965-07-09,sosachristopher@yahoo.com,118.925.1549x960,nairobi,Teacher,2022-01-10
,Morgan,Fischer,Female,2001-11-11,robert21@yahoo.com,+1-810-285-0309x73557,NAIROBI,ACCOUNTANT,2022-12-07
,Jose,Brown,Female,2000-04-11,joseph58@yahoo.com,(451)811-5583x7267,Nairobi,,2023-06-15
35.0,Rebecca,Middleton,,1966-06-08,jessica28@hotmail.com,492.242.1296,nairobi,Teacher,2020-09-27
36.0,Allen,Maddox,FEMALE,1960-02-29,dwright@chambers.com,(516)968-1508x352,NAIROBI,Teacher,2023-12-15
37.0,Stephen,Cole,male,1970-01-03,debra43@mccoy.com,(884)330-9855x6428,Mombasa ,Engineer,2024-02-13
38.0,Todd,Sanchez,Female,1962-06-08,jacksonkelly@gmail.com ,440-646-8483, Kisumu,,2023-02-06
39.0,Evan,Saunders,,2002-09-30,ericcoleman@gmail.com ,+1-203-746-7379x7784, Kisumu,,2022-01-29
40.0,Sandra,Osborne,Male,1994-04-11,roberta55@rivera.info,(060)502-9657x2193,NAIROBI,ACCOUNTANT,2023-03-31
41.0,John,Davis,Female,1965-11-16,sanchezjamie@chambers-washington.com,001-459-940-4714x4064,Nairobi,ACCOUNTANT,2024-02-28
42.0,Bryan,Smith,,1958-01-15,kevin56@gmail.com,(786)154-4837,Nairobi,ACCOUNTANT,2021-03-16
43.0,Diana,Roman,Female,1955-04-15,lisahernandez@johnson.com ,507-053-8108,Mombasa ,Engineer,2022-08-05
44.0,Jamie,Macias,FEMALE,1999-02-18,fbrown@hotmail.com,001-723-465-4133x9936,nairobi,Teacher,2022-08-02
45.0,Justin,Hughes,FEMALE,1991-12-01,christophermedina@kelly.org,(606)570-9961x82146,,ACCOUNTANT,2022-12-20
46.0,Anthony,Gutierrez,FEMALE,1956-09-09,robert93@johnson.com ,1921898768,,,2023-01-01
47.0,Veronica,Shepard,male,1960-08-17,aliciagriffin@gmail.com,+1-321-849-9918x537,nairobi,Engineer,2018-11-24
48.0,Patricia,Baldwin,male,1951-12-07,patelalicia@allen.info,001-870-101-7209x8158, Kisumu,ACCOUNTANT,2018-10-07
49.0,Jessica,Cain,FEMALE,1966-01-29,millermichael@walton.com ,661.620.1790x248,NAIROBI,Teacher,2019-12-27
50.0,Jose,Williams,Male,1977-04-06,eatontanya@stafford.com ,001-264-920-0586,,Engineer,2023-10-18
51.0,Kimberly,Daniels,Female,1976-07-10,michaelray@hotmail.com,+1-340-119-4577x19148,,,2025-02-27
52.0,Kelly,Briggs,FEMALE,1983-09-22,joshua32@hotmail.com,(372)003-0254x72277,,Teacher,2019-12-26
